,short_description,label
341,boom found pictur least four year old mani thai avail indonesian malaysian websit,1
471,uk vaccin first countri world use korona vaccin impo peopl britain next week,0
351,viral video jhansi seen work gym equip automat park uttar pradesh,1
237,boom found pictur avail internet least also narendra modi offici websit,1
65,boom contact person sing song video confirm video record,1
615,pakistani actress mahvish hayat pull twitter influenc tarek fateh post fake video,1
599,boom found viral pictur sandeep lobo member south kannada bjp cell accu arrest,1
518,boom found viral video crop share mislead context,1
410,mani peopl among farmer border delhi particip demonstr despit physic capabl,0
554,total aap mla bjp mla new delhi assembl announc seriou case crime women,1
564,boom found viral screenshot tiwari tweet fake made use applic name fake twitter,1
408,investig boom reveal viral pictur present internet sinc juli liquor shop open,1
702,boom found video fake complet differ video real funer,1
198,last day case cruelti taken prison critic govern,0
577,anoth wrong inform relat kornaviru spread,1
125,third test seri four test match play sydney australia team bat first win toss,0
727,imf also estim come day per capita gdp bangladesh overtak india go ahead,0
720,video went viral texa usa local polic said incid could happen mexico,1
368,boom contact foren doctor present scene found famili commit suicid due poverti,1
222,accord unit arab emir govern explo cau ga leakag,1
613,boom found woman appear video went viral jantar mantar alvi,1
624,mohanda pai share pictur context mislead claim,1
749,imf estim come day per capita gdp bangladesh overtak india comparison correct,0
224,journalist nepal said chine communist parti interf intern affair nepal,0
558,boom found pictur june protest multan pakistan narendra modi anti pak comment,1
1,pakistani tv present sy iqarul hasan came target due tweet call traitor,0
464,new gener come forward save old tradit kashmir,0
65,india armi chief gener mm narwan said pakistan china togeth creat threat india,0
474,viral messag claim pm modi led kornaviru task forc mani countri includ ys yuke,1
71,sangeet som advi oppo oppo corona vaccin,0
226,boom found four pictur old taken earlier,1
746,lot cast equat bihar long time bjp engag mobil voter basi hindu ident along also pay attent social engin,0
155,boom found polic shoot video actual mock drill held jharkhand polic,1
425,today cartoon award celebr support farmer,0
45,accord notic sent whatsapp peopl ask appear nia headquart new delhi januari,0
271,magazin tv bharatvarsha one india wrongli report gogoi kovid posit,1
476,articl world news daili renown fake news websit spread wrong inform gui satir materi,1
547,boom found pictur injuri mark ishi ghosh forehead clearli seen,1
367,boom found set photo share viral post differ,1
281,sana liba pakistan across loc accid cross border came way,0
186,boom found incid prakasham district andhra pradesh girl abu ex boyfriend,1
489,gener narwan said pakistan make great effort send terrorist near line control winter season,0
529,origin pictur girl whose bodi recov villag madhya pradesh februari,1
754,incid pal start make mislead claim pal relationship rashtriya swayamsevak sangh reason death,1
437,photo fred hachinson cancer center caital usa stem cell transplant burt glinn,1
406,boom found indira gandhi husband father law pictur fake,1
648,korona epidem sever affect aviat sector flight start take long time normal situat,0
483,boom discov child seen viral pictur born berth default call annsef black magic,1
202,agit farmer oppo pm modi mann ki baat program play clap sunday,0
431,farmer western uttar pradesh also reach delhi border particip ongo demonstr new agricultur law,0
452,modi govern given sign retreat aggress farmer organ,0
53,aircraft e teja jf equip long distanc missil,0
189,boom found rakhi sawant took pictur part shoot issu j c,1
440,singer actor diljit dosanjh reach delhi haryana border among farmer saturday attend demonstr farmer singhu border,0
11,claim video show prepar parad held januari peasant movement,1
480,home ministri offici confirm boom name design offic mention messag present,1
493,viral press relea relea prime minist offic india,1
139,boom found video go viral elect madhya pradesh,1
542,boom found name person stand behind kapil mishra rohit rajput resid maujpur,1
329,boom found pictur narendra modi bow mayor karnataka fake xi jinp,1
233,farooqi saheb litterateur museum univ univ pass time live tahzeeb live,0
417,conver naseeruddin shah colleagu boom reject rumor said perfectli fine,1
107,februari nirav modi told whether extradit india case fraud money launder india,0
34,claim policeman shot mother muslim youth got bike delhi polic policeman car,1
273,expert monitor polit uttarakhand believ arriv aam aadmi parti chang equat polit,0
19,seri player like rishabh pant cheteshwar pujara shubman gill shardul thakur mohammad siraj play deci role show look almost imposs day ago,0
556,boom found bjp leader parvesh verma made controversi remark assembl elect delhi,1
390,boom discov viral video juli like bangladesh,1
524,pictur two year old injur child gone viral say rioter delhi return home school,1
715,alleg india also includ want establish militari presenc maldiv,0
698,young man shot head b com student describ cousin nuh mla aftab ahm headlin newspap,0
256,issu statement hospit said former presid coma situat stabl ventil,1
84,boom found pictur share mani congress leader backdrop delhi chalo protest,1
98,boom found video chief minist gehlot dungarpur tour syedi fakhruddin shahe galiakot,1
567,boom found video part expul campaign conduct illeg encroach bhubaneswar municip corpor,1
317,sikh pracharak ram singh wrote suicid note unabl toler grief farmer,0
451,economist writer gurcharan da major advoc improv agricultur sector consid three new agricultur law implement modi govern great extent,0
1,peopl sikh commun set set set photograph show soot hindi sign board video go viral,1
311,boom found video upload youtub april year,1
625,boom found two word replac pictur placard,1
429,boom found viral audio clip katyayani mantra real voic singer jitendra singh,1
39,recent chief justic india comment peasant movement women elderli involv demonstr go home,0
689,india ask improv intern boundari publish new bank note saudi arabia see big news live updat countri world,0
719,boom found pictur done britain visit nehru,1
653,like spiderman stop train show pm modi save india repetit popular meme,1
522,video share actress congress member nagma twitter immedi went viral,1
737,boom found viral video incid karachi pakistan took place august year,1
189,nepal recent crisi seen shock china india victori indian media oli call pro china come favor india,0
160,today cartoon prepar corona vaccin,0
466,boom found video shot august mental patient karachi pakistan mosqu,1
712,auto sector contribut percent india gdp korona epidem made sector bad,0
596,central govern issu order bring digit platform internet ministri inform broadcast internet,0
551,second phase exerci malabar continu western indian ocean,0
297,blur memori go gita walk tire mind mother desir see,0
477,case horrif attack mumbai go pakistan year know condit case,0
421,economist famou writer gurcharan singh support new agricultur law feel govern could sell reform properli,0
423,wednesday meet held farmer leader central govern govern said first send written propo,0
312,boom spoke hema malini reject rumor,1
690,latest cartoon charli abdo turkey rai strong object french presid,0
164,boom found viral pictur alexand khan satna polic madhya pradesh charg sexual abu minor,1
93,boom spoke organ hindu jagrati mandal found slogan rai ganpati immer thane maharashtra,1
571,peopl gwalior say manish mishra live beg road,0
175,former bureaucrat written letter conver ordin address chief minist bjp say yogi adityanath continu work way,0
285,union road transport highway minist nitin gadkari announc india toll plaza free next two year,0
516,boom found viral video made ad three clip xi jinp northwest region china,1
105,four test seri team par one third test match play sydney cricket ground,0
555,presenc new presid white hou affect america india relat,0
457,boom found sindh govern made quarantin facil devot come pakistan iran sukkur,1
360,oper famili hope girl abl particip sport activ like children,0
349,central govern issu guidelin regard process peopl appli peopl india vaccin corona vaccin,0
721,health minist express concern corona viru foreign minist read statement relat china today newspap headlin,0
127,boom found video made viral connect recent polit commun activ,1
580,rel friend mother say move,0
197,ramesh pokhriy nishank announc date board examin tenth twelfth thursday decemb,0
335,transport depart delhi made high secur registr plate color code fuel sticker compulsori car done invoic rs deduct,0
269,boom spoke priest hyderabad templ confirm video januari,1
171,sonal sharma select rajasthan judici servic rj,0
146,boom found two year old video zhang pakistan person seen video arrest,1
494,viral video claim million peopl accept islam china due fear korivyu,1
17,india dust gaba consid unbeat australia peopl hit four six social media,0
112,boom found name bird speci andian condor found injur argentina,1
230,bjp congress akali call aggress kejriw opportun aam aadmi parti claim stand farmer sinc day law pass lok sabha rajya sabha,0
530,minist state financ fal claim press confer never rai slogan,1
450,support farmer agit india canadian prime minist justin trudeau made statement press confer question relat india,0
442,bhoomi pujan new build parliament hou go held decemb lok sabha speaker om birla confirm prime minist narendra modi worship,0
253,boom found real pictur modi bow idol mahatma gandhi,1
295,dome tower design mosqu hospit construct premi,0
479,boom found video protest ralli took place azerbaizan last year,1
750,bhanu athaiya award oscar award design costum film gandhi relea,0
708,central govern announc immedi bonu lakh non gazet central employ,0
396,boom contact icmr ganga ram hospit delhi confirm viral messag relea,1
229,agit farmer oppo pm modi mann ki baat program play clap sunday,0
29,accord claim social media gurdwara samiti delib remov rug prime minist walk cold,1
211,bjp congress akali call aggress kejriw opportun aam aadmi parti claim stand farmer sinc day law pass lok sabha rajya sabha,0
415,india alreadi seri three match,0
752,opposit parti anti pakistan mobil imran khan govern,0
161,boom found photo demonstr delhi polic novemb demand justic,1
611,boom earlier reject video viral fake claim,1
16,boom found video india,1
29,recent nepal foreign minist pradeep jnanwali visit india possibl would also meet indian prime minist could happen,0
739,bhanu athaiya award oscar award design costum film gandhi relea,0
627,countri taken sever step keep posit strong border recent time,0
176,farmer organ still adam demand withdraw three agricultur law central govern said withdraw law,0
292,boom found pictur bihar assam flood,1
234,boom found video shot new york claim connect riya fake,1
130,bjp leader includ mani indian news channel mislead claim modi slogan pakistan parliament social media,1
108,boom found video naga sadhu royal bath kumbh mela held prayagraj,1
560,read huge declin number compani regist epfo special print today newspap,0
544,boom visit ashok nagar mosqu locat confirm miscreant februari,1
404,mani shop karachi pakistan whose name citi india see special report,0
598,boom found video municip elect held chhattisgarh relat delhi assembl elect,1
355,demand includ bajrang dal danger organ review attack church outsid delhi june,0
3,claim bjp leader admit govern wrong public,1
293,boom found viral letter actual subramanian swami demand cbi inquiri prime minist narendra modi case,1
718,boom told truth video incid took place mall morocco,1
135,sunday india drug regul approv indigen vaccin emerg use without third phase trial,0
550,employ factori suppli cloth brand like tesco sensburi marx spencer rowlf lauren accu exploit,0
165,viral claim fake video octob tmc worker allegedli attack bjp leader subrata mishra,1
278,boom discov real pictur gehlot seen celebr victori rajasthan assembl elect year,1
97,last day sydney test india score run win india could score run lose five wicket,0
220,boom found collector bhupalp district judg,1
588,recent film made india rememb struggl captain gr gopinath brought cheap flight servic,0
733,tehri district uttarakhand rauatu villag name bailey famou paneer villag villag famili work make chee villag watch video,0
161,seventh round conver farmer govern end bentiza next negoti farmer leader central govern eightth e friday,0
322,boom contact bjp leader vika dubey seen viral pictur found claim absolut baseless,1
610,rashtriya janata dal emerg largest parti seat assembl member bjp second largest parti seat rjd,0
572,prime minist modi went jaisalm time celebr diwali armi personnel discuss well social media,0
230,boom found gunjan saxena kargil girl film film retir femal helicopt pilot gunjan,1
647,prasar bharati ask chine foreign ministri india finish special statu jammu kashmir china rai strong object silent case pakistan,0
210,boom found claim viral post fake woman seen pictur aliv corp found suitca unknown woman,1
721,boom found link given news take fake websit,1
17,claim tower jio burnt farmer,1
13,accord data relea ministri health karnataka odisha punjab west bengal telangana state peopl vaccin remain state behind,0
692,peopl bihar also worri water includ basic facil peopl abl get clean drink water avail,0
64,rakesh tikait repr farmer organ leader indian farmer union talk bbc said farmer form trust farmer,0
702,pakistani mp ayaz sadiq claim extern affair minist shah mahmood qureshi said wing command abhinandan relea india attack till pm,0
38,air marshal rk bhadoria head indian air forc say indigen fighter aircraft teja balakot help close invit surgic strike,0
100,video share facebook twitter islam milit franc recent kill school teacher,1
272,pictur shown viral post boe dreamlin boe er purcha india,1
694,claim done christian odisha,1
102,michael jackson one show india interest stori relat show,0
498,discuss india crush defeat hand australia whether conflict india captain virat kohli vice captain rohit sharma mutual relat,0
76,sc ban agricultur law atmosph singhu border inform bbc correspond arvind chhabra,0
63,boom found pictur taken brick factori fatullah bangladesh,1
402,viral screenshot tweet say amit shah plead muslim commun good health,1
578,boom found video maulvi made comment tabrez ansari murder mob,1
110,boom boom said medic offic sinhawada phc said first aid soldier done one die,1
485,kohli rahul play half centuri inning indian team chase target run could save team defeat,0
712,boom found articl first publish satir entertain websit consid true,1
308,boom found pictur publish articl time india author told boom taken near bhagalpur,1
23,three day sinc vaccin corona start india accord ministri health govern india far lakh thousand peopl vaccin korona,0
232,farmer oppo central govern agricultur law come prepar protest six month peopl may find difficult believ movement farmer last six year maharashtra six year,0
661,dalit mahadalit famili live girdnibagh yarpur area patna capit bihar far away develop,0
595,stand comedian kunal kamra said apolog suprem court alleg contempt tweet withdraw word,0
456,india australia match yuzvendra chahal part team know man match becam whole thrill match video,0
26,along pictur claim social media surat singh given food water farmer,1
389,investig boom pictur found pictur sindh pakistan encount among peopl disput land,1
743,driver continu drive inst,0
523,kalb sadiq big islam scholar countri liber imag ill long time th month admit hospit lucknow kept ventil support,0
299,least year old pictur viral fake claim skeleton bhim son ghatotkacha,1
364,boom found viral video delhi king edward memori hospit mumbai,1
395,boom found pictur rohingya muslim person leav myanmar run toward bangladesh,1
50,boom spoke indian armi spokesman colonel aman anand term claim fake,1
623,necessari news big updat day found live page bbc avail hour,0
651,boom found video shot policeman caught sikh protestor mohali forc turban,1
170,boom found femal market e commerc compani seen video associ hyderabad offic safe shop india,1
734,shubhranshu chaudhari one indian target isra spywar pegasa spoke boom told,1
681,central govern announc immedi bonu lakh non gazet central employ,0
345,boom found pictur incid relat india,1
473,countri popul one billion everyon abl get vaccin concern challeng face vaccin campaign,0
249,pakistan say india tri take kind action given befit repli,0
307,first tripartit work group meet india iran uzbekistan talk held joint use chabahar port,0
728,mainpuri polic told boom quarrel took place two thakur group,1
443,kamla harri publicli said anyth support peasant movement name come,0
89,abp news bulletin screenshot use brake news templat unrel photo concern patra,1
341,accord excerpt presidenti year late presid pranab mukherj written becom presid sonia gandhi busi save govern,0
298,first case corona infect india came januari year,0
164,indian cricket team support staff corona viru test video indoor restaur melbourn went viral,0
676,boom found pictur india kidnapp caught cairo egipt,1
665,boom found pictur actual display clash polic lawyer court,1
674,video mislead share recent pass caa protest,1
107,boom found pictur go viral old,1
540,festiv chhath longer limit bihar eastern uttar pradesh saturday morn chhath conclud offer arghya rise sun,0
21,recent pictur share social media platform connect pictur varanasi,1
191,boom found vote mim written shahrukh shirt viral post ad photoshop,1
423,reveal boom boom video youtub august kornaviru wahn infect spread china,1
340,boom found perform relat indo china issu leader cpi better worker poor,1
486,time pakistan unit arab emir saudi arabia use strong relationship recent month synergi seen bit wrong,0
515,pictur bollywood actor aamir khan seen turkish presid recep tayyip erdogan social media,1
276,today cartoon air india auction peasant movement,0
590,india far issu travel advic china healthcar provid deal kornaviru,1
352,india armi chief gener manoj mukund narwan week long tour uae saudi arabia,0
628,boom found viral messag mislead mani way,1
607,footag made video game editor base popular pc game arma,1
244,post bragt trade deal uk european union britain pave rout free trade countri includ india,0
576,day earlier pakistan foreign minist armi spokesperson made press confer made seriou alleg india repli indian ministri extern affair,0
104,steve smith score percent intern centuri india like bat india,0
356,boom found pictur avail internet sinc june,1
223,buldhana polic told boom viral pictur school student made day occa women day,1
719,uttar pradesh case regist mani journalist accu mani journalist tarnish imag govern,0
211,two screenshot viral make fake claim regard open kangana ranaut school colleg,1
281,news websit use photo hamnam sp leader report instead leader muslim kar sevak forum,1
390,suprem court reject donald trump effort dismiss presidenti elect result,0
436,farmer mani state countri gather differ border delhi although farmer demonstr burari border,0
638,indian intellig agenc chief armi chief visit nepal two countri creat atmosph return path polit dialogu,0
705,prime minist narendra modi congress leader rahul gandhi constantli hold ralli campaign bihar,0
552,accord shiv sena mouthpiec drink alcohol remov coronaviru,1
356,farmer road rajasthan haryana border read movement,0
148,bill milinda gate foundat spokesperson reject messag go viral,1
370,india pakistan often known enmiti time countri come togeth,0
366,boom talk senior offic uttarakhand wild depart found viral pictur uttarakhand,1
668,immigr offic share video bangladeshi passport found sandal view caa opposit,1
20,india memor victori australia rishabh pant shubman pujara bat wrote,0
565,boom found wuhan resid whistl memori dr li valiang,1
700,accord nation secur agenc alleg ngo trust collect donat countri abroad promot separ,0
475,govern notif describ implement section indian stamp act shown fy,1
165,oxford kovishield bharat biotech koovaxin approv data made public mani concern express,0
85,made two ed film unit kingdom,1
104,boom found edit origin pictur figur rohit sharma mumbai indian appli burj caliph,1
463,local peopl perform time goa fear goa may turn pile coal famou natur beauti,0
157,sixth round talk farmer govern know middl way former agricultur minist former food commiss former fci chairman expert issu,0
351,accord global hunger index india number countri world sudan,0
416,boom discov video rishi kapoor time mother krishna raj kapoor death,1
392,check boom found pictur tweet suresh chavank old year telangana due kovid,1
114,boom found video old januari young man disput prayer flight allahu akbar,1
451,map map social media describ recent found present internet sinc,1
151,sonal sharma select rajasthan judici servic rj,0
387,agit farmer protest agricultur law continu farmer made demand law break govern farmer,0
134,cctv footag lift woman shown brutal loot unknown assail video malaysia,1
150,boom found video claim viral video video bihar dhar district madhya pradesh civic elect,1
691,boom found hyderabad rape victim receiv award viral video,1
301,pakistan foreign minist shah mehmood qureshi said pakistan come know intellig sourc india plan surgic strike,0
375,antonio gutr said cannot spend resourc way next gener fall burden earth,0
319,mani news institut publish report made ian wrote sushant singh rajput father twitter,1
442,conver boom delhi polic made clear azan ban mosqu religi place,1
323,accord excerpt presidenti year late presid pranab mukherj written becom presid sonia gandhi busi save govern,0
195,boom found one speech mumbai last year distort distort,1
58,deci test begin brisban friday half india team still depend doctor,0
96,boom found video shot western java divi indonesia four year old child islam prayer,1
163,boom found claim viral post fake case domest violenc kerala bangladesh,1
347,pinki husband jeth kept custodi accu miscarriag quit seriou,0
